Complex,Subunit Name,Subunit Stoichiometry,Subunit ID
ORC,ORC3,1,YLL004W
ORC,ORC1,1,YML065W
ORC,ORC2,1,YBR060C
ORC,ORC5,1,YNL261W
eif2_yeast,SUI3,1,YPL237W
eif2_yeast,SUI2,1,YJR007W
eif2_yeast,GCD11,1,YER025W
ski_yeast,SKI3,1,YPR189W
ski_yeast,SKI8,2,YGL213C
ski_yeast,SKI2,1,YLR398C
sr_yeast,SRP102,1,YKL154W
sr_yeast,SRP101,1,YDR292C
mms2-ubc13_yeast,UBC13,1,YDR092W
mms2-ubc13_yeast,MMS2,1,YGL087C
ceramide-synth_yeast,LAC1,1,YKL008C
ceramide-synth_yeast,LAG1,1,YHL003C
ceramide-synth_yeast,LIP1,2,YMR298W
rnapoli_specific_subunits,RPA49,1,YNL248C
rnapoli_specific_subunits,RPA190,1,YOR341W
rnapoli_specific_subunits,RPA43,1,YOR340C
rnapoli_specific_subunits,RPA34,1,YJL148W
rnapoli_specific_subunits,RPA12,1,YJR063W
rnapoli_specific_subunits,RPA135,1,YPR010C
rnapoli_specific_subunits,RPA14,1,YDR156W
dpol-epsilon_yeast,DPB2,1,YPR175W
dpol-epsilon_yeast,DPB3,1,YBR278W
dpol-epsilon_yeast,POL2,1,YNL262W
Mitochondrial SAM complex,SAM37,1,YMR060C
Mitochondrial SAM complex,SAM35,1,YHR083W
Mitochondrial SAM complex,SAM50,1,YNL026W
H3H4_dimer,HHF1,2,YBR009C
H3H4_dimer,HHF2,2,YNL030W
H3H4_dimer,HHT1,2,YBR010W
H3H4_dimer,HHT2,2,YNL031C
spt4-spt5_yeast,SPT4,1,YGR063C
spt4-spt5_yeast,SPT5,1,YML010W
80S Ribosome,RPS17A,1,YML024W
80S Ribosome,RPS17B,1,YDR447C
80S Ribosome,RPS30A,1,YLR287C-A
80S Ribosome,RPS30B,1,YOR182C
80S Ribosome,RPL23A,1,YBL087C
80S Ribosome,RPL23B,1,YER117W
80S Ribosome,RPL2A,1,YFR031C-A
80S Ribosome,RPL2B,1,YIL018W
80S Ribosome,RPL33A,1,YPL143W
80S Ribosome,RPL33B,1,YOR234C
80S Ribosome,RPS22A,1,YJL190C
80S Ribosome,RPS22B,1,YLR367W
80S Ribosome,RPS2,1,YGL123W
80S Ribosome,RPL25,1,YOL127W
80S Ribosome,RPL31A,1,YDL075W
